Year;Category;Number;
2024;Parties;17680;
2024;Observer states;0;
2024;UN secretariat observers;677;
2024;UN specialised agency observers;671;
2024;IGO observers;1029;
2024;NGO observers;9881;
2024;Media;3575;
2024;Overflow;16305;
2024;Other/Staff;16960;
2024;Virtual;3975;
2023;Parties;20204;
2023;Observer states;0;
2023;UN secretariat observers;803;
2023;UN specialised agency observers;800;
2023;IGO observers;1866;
2023;NGO observers;13278;
2023;Media;2673;
2023;Overflow;24890;
2023;Other/Staff;19370;
2023;Virtual;2089;