Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,242.4863,243.2288,251.8409,262.3873,255.0515,261.1045,256.648,251.0312,248.1012,254.9176,256.6588,248.509,254.7601,259.1349,268.3789,268.0613,262.6373,266.662,268.7235,271.4204,277.2401,280.2929,288.0539,293.15,298.0708,305.5909,303.6472,299.4525,298.3698,321.5574,341.7355,344.7966,358.5505,365.3305,366.0364,343.2172,346.2642,353.7429,358.7932,368.2646,366.6139,375.0943,375.8706,379.1392,378.2615,373.7171,358.9954,378.39,382.962,..
Australia,AUS,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,355.2037,364.5654,367.6751,374.3397,365.321,369.4931,376.7207,379.5925,386.9,373.6334,385.3391,401.1892,405.8635,416.5375,425.0786,448.2717,456.6346,459.5489,461.1282,464.2075,469.6576,477.351,490.8985,503.8393,525.9463,533.164,542.0392,551.7994,560.4181,551.3685,571.8273,575.9361,580.3579,588.8668,586.9816,595.9713,601.1714,605.0921,607.5772,596.3544,584.7139,592.8248,593.2794,600.3286,597.03,595.2797,572.0736,560.8853,570.6027,..
Brazil,BRA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,449.7443,471.8704,508.8325,525.4087,540.6242,563.8921,592.1855,581.7772,590.8568,586.6056,607.0234,622.1426,657.4658,675.2555,689.573,700.0026,695.6381,721.9208,744.7379,771.0107,799.1751,837.0766,844.6529,872.3311,890.2686,907.7264,934.7085,950.3397,975.5655,1008.2486,1058.9792,1067.4589,1075.505,1092.2682,1122.3846,1098.2621,1177.712,1212.9225,1250.5755,1288.0647,1323.6088,1307.9689,1285.09,1298.0216,1274.9477,1281.4619,1277.6894,1343.1411,1310.4989,..
Canada,CAN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,533.7642,518.8253,530.4984,551.5862,558.4761,573.0379,578.4447,558.4993,539.4705,540.9337,562.1285,557.5976,544.0986,560.1563,594.2651,616.4185,582.1654,577.0779,593.1563,597.0651,622.5805,637.4917,654.1133,666.633,675.0356,686.0017,710.2549,700.2892,723.2087,741.6931,737.7851,745.2121,742.8048,776.9718,750.0267,708.8918,726.1349,742.2145,744.5577,755.6255,768.7587,764.535,758.5757,772.8969,787.6513,775.3764,711.4686,733.0817,756.8101,..
China,CHN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,2335.2071,2528.8241,2591.382,2769.5635,2962.3119,3005.6359,2975.9849,2943.4291,3028.2266,3142.4308,3332.2459,3339.9514,3477.8447,3663.7398,3855.6424,3974.837,4046.8546,4183.1174,4294.3144,4500.8962,4682.316,5109.8256,5105.9713,5143.9249,5227.6438,5175.0553,5400.4912,5597.4498,5933.0578,6651.449,7529.6669,8405.5432,9206.2169,9819.6021,10044.4264,10670.9385,11540.5039,12548.1601,12903.742,13461.1829,13626.0618,13455.9982,13423.4243,13687.1477,14273.7674,14583.463,14856.9669,15610.3695,15662.1317,..
France,FRA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,683.5503,642.9377,686.8261,670.0107,687.4231,696.4438,673.8417,622.9276,601.8183,587.3659,575.095,559.3298,546.6873,536.7483,533.3313,541.6005,534.7922,565.5592,551.1519,528.9083,523.6191,534.1544,552.5576,539.0047,551.0665,543.4578,543.686,548.0027,541.5256,544.7156,545.6975,546.1036,532.2617,526.539,519.399,504.4666,514.2563,497.0022,499.2107,493.5974,459.8354,464.1572,466.2441,469.2505,455.7309,445.8764,405.3519,442.2225,429.9974,..
Germany,DEU,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,1359.9833,1298.0757,1362.5818,1338.5953,1380.9302,1432.6387,1378.4143,1341.7135,1291.5205,1305.788,1321.0414,1322.4662,1311.2302,1300.0911,1290.3786,1277.8564,1235.2345,1209.5119,1145.9111,1132.6564,1118.3481,1110.3433,1137.9142,1099.0196,1079.0151,1038.7965,1032.2857,1043.5843,1025.2094,1023.8532,1007.1142,983.7129,989.8322,958.4342,960.1928,896.2574,940.9959,912.9835,925.5596,942.9811,902.8989,908.1324,910.2047,893.9396,864.5847,810.2707,751.339,792.4534,784.0046,..
India,IND,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,863.7823,895.4534,918.8383,938.4584,942.9015,971.2328,996.2937,1046.2245,1069.9071,1119.7133,1173.7648,1203.9725,1267.3377,1301.549,1370.8627,1428.9689,1434.0581,1493.0054,1525.8161,1558.62,1613.4194,1678.1405,1726.154,1783.6477,1814.4387,1883.8798,1917.1068,1942.0776,1971.9147,2023.8436,2127.8257,2200.6958,2305.5158,2449.5228,2562.6934,2716.4389,2837.5226,2963.1802,3141.9236,3180.5445,3355.0863,3387.4295,3440.8332,3587.6148,3752.2,3728.6916,3516.6805,3752.1746,3940.7995,..
Indonesia,IDN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,249.2418,249.1351,257.1318,283.6654,302.8467,309.4043,314.2385,324.1248,315.1234,323.6912,339.3289,347.1817,363.763,365.6205,378.7315,391.6263,427.6425,448.6348,469.5567,487.715,507.2135,538.0351,563.2456,587.6993,585.7201,599.6235,602.1886,626.7262,639.4302,672.8766,686.3048,694.2789,730.1868,753.6528,759.0386,793.4367,827.178,930.7402,952.0092,911.9307,961.0735,961.3625,956.6358,1019.7306,1109.5989,1161.7335,1104.6649,1128.0125,1240.7843,..
Italy,ITA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,454.2756,436.2758,467.0757,456.4589,466.8463,483.5455,484.719,472.2207,463.3886,456.2922,465.0354,465.6204,468.6608,495.0241,495.7611,512.4209,513.6393,511.1547,505.8708,499.4708,495.559,522.2192,518.2246,522.2689,531.8631,539.2379,545.6935,542.2225,551.6417,570.405,579.4958,580.335,568.1431,560.8064,545.3152,493.2645,503.5432,492.1974,473.2515,440.0386,419.9919,430.2052,424.8877,422.7058,417.4814,405.2389,367.3238,392.8665,394.6564,..
Japan,JPN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,1164.1203,1105.9931,1142.191,1170.0683,1164.3747,1190.0268,1160.2868,1133.636,1090.9671,1094.6117,1167.7178,1139.8622,1135.5826,1138.0007,1212.3843,1243.2972,1321.3145,1335.318,1344.6558,1340.9523,1402.3586,1419.6527,1432.0069,1413.5706,1357.4848,1388.2189,1391.4509,1368.8645,1397.5578,1402.0883,1392.9628,1402.15,1372.6418,1407.7853,1332.3929,1263.3809,1326.2628,1375.5966,1412.9327,1429.1881,1377.1513,1335.1082,1321.5024,1306.4717,1265.5424,1226.4328,1161.3212,1174.9653,1182.3124,..
"Korea, Rep.",KOR,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,128.8882,137.5017,147.1272,162.5838,170.4257,188.1232,190.6907,197.4236,196.655,212.4671,235.5524,246.1604,255.2885,260.9139,287.0402,298.3019,330.3081,360.397,381.4914,406.1479,435.5591,469.8789,500.3836,529.8869,456.0357,495.4471,545.1249,550.5666,557.8522,559.7408,582.1311,582.4588,589.9531,604.0981,612.2664,621.3918,673.2629,702.3493,707.5264,705.1816,701.1682,719.3205,735.4229,745.4871,750.1996,731.274,699.5921,730.7838,725.6826,..
Mexico,MEX,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,266.762,281.3601,296.9653,307.5472,334.6963,351.93,384.3118,411.1471,435.6287,421.5478,428.0956,441.7066,438.0437,451.0918,450.1996,468.7642,466.3863,484.8451,490.0101,506.6617,539.5231,530.5841,553.0732,586.8954,615.971,605.2765,634.1385,633.5272,642.9934,671.159,683.1719,707.9482,733.0935,748.0672,757.5058,751.5259,768.8115,782.679,800.225,793.0949,781.7725,790.3294,799.0129,802.7077,780.7826,790.9618,739.2812,765.4256,819.8367,..
Russian Federation,RUS,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,2224.0515,2348.6209,2425.5125,2474.9016,2539.6939,2572.8297,2634.9692,2627.2812,2659.8207,2694.2372,2731.4334,2770.8126,2838.2281,2908.1011,2958.1768,2967.4308,3052.3296,2999.5043,2772.9584,2546.0038,2307.9371,2241.3311,2177.7843,2047.0685,2036.929,2087.9279,2133.5888,2146.2223,2137.0151,2205.206,2218.1852,2220.9526,2259.9621,2272.5124,2266.3862,2146.9,2244.5101,2342.2885,2346.6718,2298.5869,2280.0333,2293.9881,2280.3186,2338.4709,2443.2,2529.4088,2431.7189,2605.8322,2578.9908,..
Saudi Arabia,SAU,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,159.0151,132.8634,163.5662,176.3203,181.7907,213.5727,255.5726,243.9493,231.978,224.5239,183.5607,177.7767,189.3295,198.9036,216.9456,219.0937,238.3912,252.1187,268.2321,278.9225,296.9187,293.5823,310.9663,317.2669,333.6319,335.6485,355.024,367.9486,388.5711,414.7699,437.9239,466.4936,491.2462,513.9487,551.7653,571.8016,619.4687,649.8322,686.8813,696.0185,739.7472,771.9037,777.2629,774.5726,758.4726,761.4851,755.3689,779.9732,810.5116,..
South Africa,ZAF,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,279.0589,297.3517,313.4526,315.7319,295.3784,305.2807,321.0234,337.6448,346.8366,350.1575,371.2682,376.8212,374.9621,392.0924,397.9029,397.1148,411.2647,403.7724,397.8371,401.9662,408.6774,427.7606,442.1211,461.8484,469.2428,451.8353,456.6336,467.4568,482.0722,509.3326,542.7119,554.8188,559.0014,580.6758,610.6013,578.8865,587.4576,568.5178,588.6241,601.2079,614.768,589.3976,589.6977,602.0902,605.101,610.4437,550.7659,547.7716,533.8207,..
Turkiye,TUR,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,124.61,131.6706,141.8221,151.5373,151.279,146.282,151.1985,154.4217,162.7255,166.8409,173.4797,177.8784,190.5065,203.4218,199.1887,213.7592,227.7693,224.0623,233.7697,240.2434,235.87,254.3573,275.2101,289.8575,294.9203,296.8662,322.7446,301.1139,307.1518,320.8539,324.7244,336.1924,372.1399,401.6991,400.0431,407.902,424.7758,449.4106,481.7534,478.9803,506.2701,521.5698,551.2168,597.2129,603.5146,593.1169,614.1413,666.4403,687.1665,..
United Kingdom,GBR,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,843.7637,831.6487,842.9629,847.772,849.373,888.9606,820.479,801.0994,784.8091,777.374,733.1409,775.676,798.2254,799.9868,795.8291,778.8881,785.5547,797.8067,774.4728,752.1212,743.8083,740.196,760.3263,736.7815,727.5412,701.0294,700.1192,709.7096,689.0211,698.2169,691.9153,681.2129,673.9747,658.8605,636.5795,582.5419,594.2596,551.5783,573.2484,558.1893,519.2542,504.4467,484.2036,470.143,463.3835,446.2817,407.3352,425.1052,425.9522,..
United States,USA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,5913.0306,5696.3362,6011.3151,6167.2631,6159.6125,6226.2622,5993.3464,5913.3384,5644.1548,5613.473,5840.0296,5848.3037,5801.434,5960.6193,6197.0904,6263.0741,6155.9535,6108.1787,6207.2598,6334.1908,6441.6296,6510.9232,6681.0281,6964.2546,7013.6096,7016.9287,7181.2241,7098.0481,6934.0397,7000.213,7089.4915,7094.4271,6983.3721,7079.5382,6900.1639,6432.4868,6679.1367,6478.0379,6234.3212,6375.1904,6402.7204,6281.2777,6159.7847,6103.414,6280.3192,6145.7474,5607.9657,5915.5787,6009.5848,..
European Union,EUU,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,4962.8526,4877.3288,5144.8947,5132.898,5301.7565,5458.5285,5367.4432,5161.2458,5075.1673,5056.7449,5095.9917,5102.4782,5103.4424,5142.5118,5123.9808,5112.6917,4913.4318,4834.1671,4651.896,4564.2593,4550.0387,4598.4742,4708.0403,4630.1984,4577.4766,4501.7289,4511.8391,4547.0424,4535.4608,4622.6247,4628.4478,4595.5027,4597.2965,4558.6811,4451.1091,4158.7977,4274.0908,4166.6472,4104.9787,4017.7987,3868.0884,3920.7048,3925.3731,3951.3449,3870.0394,3712.1836,3426.4504,3616.7228,3586.8163,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
