year;imports;exports
1991;1881;2121
1992;940;1484
1993;629;725
1994;778;653
1995;668;637
1996;961;631
1997;794;781
1998;1077;606
1999;1036;930
2000;1172;1745
2001;1431;2314
2002;1666;2167
2003;2626;2590
2004;3516;3616
2005;4211;4347
2006;5267;6372
2007;5714;6058
2008;7170;47756
2009;6123;14701
2010;6601;26560
2011;6601;21360
2012;9756;34406
2013;9756;26571
2014;9653;34161
2015;9653;23908
2016;10713;32842
2017;10713;23975
2018;9188;30220
2019;9188;21829
2020;9217;16592
2021;9217;12729
2022;8489;13108
2023;8489;13458
2024;8783;15481
2025;8783;15320
2026;11466;20317
2027;11466;19489
2028;13668;19398
2029;13668;19635
2030;10732;13472
2031;10732;13733
2032;11703;23934
2033;11703;22208
2034;14540;41672
2035;14540;38147
2036;17285;29718
2037;17285;33899